acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lacc_x,lacc_y,lacc_z,activity
-0.19573891,0.18370426,-0.936573,0.61220884,0.13868202,-0.07798484,-0.8186619,1.9047209,10.535833,3
0.12822954,0.1619798,1.1856632,-0.46511212,-0.2927107,-0.15849683,-0.6654396,1.5647589,10.969165,3
-0.37643373,-0.13221109,-1.0940609,0.13854435,-0.025029724,0.18664178,0.44781634,3.7314181,5.6973596,3
-0.13991523,-0.18711019,0.35377312,0.11948536,-0.29735324,0.15658718,-0.49067035,4.6315994,7.8544426,3
1.0681019,0.13546205,0.093735695,-0.071226604,-0.033337474,-0.2569682,-3.562299,0.15224057,7.6246095,3
-0.17561662,-1.2639275,0.24938011,-0.20964853,0.7161936,-0.14591299,-1.6350497,1.5312415,8.881511,3
0.7153722,0.2909217,-0.44432545,0.63175654,0.024694657,0.18945175,-0.8761203,1.1122742,9.939703,3
-0.4349882,1.4132869,0.89653206,-0.5391489,0.16055097,-0.24181877,-0.066914886,0.64781904,13.061607,3
-0.95870626,-0.5942673,0.8441992,-0.29810175,-1.183718,-0.7909861,0.3352937,2.077096,7.763467,3
0.22893675,-0.32777047,-0.22487831,0.09395121,0.24216251,-0.13247399,0.87635994,1.4689949,10.080955,3
0.4433437,0.4880433,0.43782997,0.041661203,0.099953175,0.34864306,0.8141134,2.9174244,6.1522384,3
-0.5505743,-0.027576566,-0.70935345,-0.080633916,0.038500197,-0.34566575,1.6544421,2.8671484,7.8089547,3
0.08511488,-0.070953846,0.61979485,-0.17311884,-0.15416653,-0.34029016,-1.6398377,2.6971674,5.556108,3
0.24388045,0.2423827,-0.3385887,0.036285594,0.1636053,-0.036934737,0.8428426,3.6955066,5.5417433,3
-0.6621037,0.073785424,0.64173985,-0.18435876,-0.004993353,-0.002481965,-0.4140592,1.7610749,9.788875,3
-0.20184758,-0.46182048,-0.37134838,-0.009162743,0.16238359,0.12763223,0.37599337,1.2631024,9.353148,3
-0.17768441,0.031161249,-0.31183338,0.20305164,-0.1524561,0.22585925,-2.0540166,1.4139307,5.295151,3
-0.3155321,-0.117287576,0.27548313,0.015271845,0.040454973,0.21242025,0.10546022,2.6612558,6.3461604,3
-0.1636455,0.15387034,-0.32621956,0.035796903,0.03068113,0.2907331,-0.20337853,1.5647589,8.85757,3
-0.11192844,-0.14910465,0.7233,-0.024678713,-0.019531941,0.058482327,0.74947286,1.6964343,8.414661,3
0.004266709,0.048974037,-0.3481722,-0.03396385,-0.015133719,-0.051106803,-0.34702444,1.952603,8.654072,3
0.47823226,0.38648278,0.1941042,-0.010995336,-0.20328005,-0.30974695,-0.52897596,1.713193,8.721107,3
-0.043583483,0.002322972,-0.43840504,-0.07916784,0.2652532,0.24186394,-2.4083433,0.8273765,11.191816,3
0.39298847,-0.21576595,0.35750103,0.14929555,-0.27230778,0.1389943,-1.3740928,1.1888855,10.306,3
0.26789755,0.34833843,-0.6108103,-0.09004123,0.17704432,-0.07761832,-1.4004279,2.1177957,7.4306874,3
-0.026085585,-0.02526468,1.1106634,0.003543237,-0.10786299,-0.41664824,-0.94794333,2.247077,6.3078547,3
-0.15044817,-0.031815052,-0.10258579,-0.14587426,0.17399,-0.0985099,-0.3829359,1.6700991,8.955728,3
0.5195638,-0.13950413,-0.38749123,-0.021135693,-0.004626838,0.12042402,-0.13634375,1.2607083,8.46015,3
0.20034768,0.2815225,0.002311707,-0.014538352,-0.042378288,-0.032047816,-1.5464679,1.5815176,12.185368,3
0.3222983,-0.13045087,0.16650963,-0.014904878,-0.112994224,-0.015310123,-2.6716943,1.7538927,9.685927,3
0.4224339,-0.061181158,0.016334534,-0.036162965,0.073808186,-0.059292383,0.03124316,1.4833596,8.701954,3
0.1911203,0.32060882,-0.15478802,-0.059497993,0.08492592,-0.18623008,-0.54334056,2.5583096,8.594219,3
0.16550967,-0.07922557,0.086318016,-0.027610851,-0.07744192,-0.20357862,0.9960649,2.587039,16.183512,3
0.14449763,-0.05360979,0.085142136,0.027855651,-0.15502174,-0.14469127,-0.35420677,3.7314181,14.629742,3
-0.13535786,-0.023852974,-0.04059887,-0.026999993,0.06574477,-0.08727,-0.70135105,-0.7263937,9.551859,3
0.012593448,0.10292989,-0.040690422,0.12070709,-0.13168672,-0.019097488,-0.4044828,0.00859464,7.21043,3
-0.20665258,-0.04852873,0.3987322,-0.05571063,-0.020998022,-0.06894405,-1.4578863,-1.1142377,14.27781,3
0.3298873,-0.17864221,-0.93865395,0.027366966,-0.001694691,-0.009934515,-1.8672773,-1.6888213,14.062341,3
0.19417053,-0.6118332,0.5960102,0.050213307,0.041676708,-0.19331609,0.632162,-0.029710934,8.8863,3
0.03749928,-0.13261104,-0.22476578,0.088209085,0.092622824,-0.05709327,0.37838748,-0.106322095,7.938236,3
-0.16658339,-1.4129202,0.23273182,0.10299202,-0.029183615,0.023296526,0.31135273,1.9166914,8.943758,3
-0.6380047,-1.7917745,-0.67464066,0.001832822,-0.0820845,0.1558542,0.6752558,2.9198186,10.435281,3
